EMP_NAME,EMP_AGE,MARITAL STATUS,EMP ID,COMPANY,COMPANY LOCATION,SPECIALIZATION,DESIGNATION_ID,PHONE NO,BANK BRANCH,EXPERIENCE,EDUCATION,VOTER_ID,PAN CARD,HOUSING,Loan,LOAN TYPE_ID,REWARD POINTS ,SAVINGS ACCOUNT NO.,CD ACC NO,FD ACC NO,OD ACC NO,CURRENT ACC NO,BALANCE,CREDIT CARD NO,DEBIT CARD NO,INTERNET BANKING,AVG BALANCE YEAR1,AVG BALANCE YEAR 2,AVG BALANCE YEAR 3,ADDRESS OF EMPLOYEES,ACCOUNT OPENING DATE,,
Utkarsh Kumar,34,divorced,15103,IBM,Pune,Perl,1008,9123457085,Delhi,5.5,BE/BTech,AMN45126,PUENP8019J,yes,no,208,9857,10025000000368,1112510000400,1114020000396,NULL,NULL,19,4679 2385 1258 1223,1601 9438 8752 1005,yes,147995,200088,264161,"H.No:13/C,Queens road,Chinchpokli",25-04-2013,,
Anubhay Abhay,32,divorced,15104,IBM,Pune,Java Script,1008,9123457089,Delhi,8,BE/BTech,QSZ126581,PUENP8020M,yes,no,208,8587,10025000000369,1112510000401,1114020000397,NULL,NULL,"4,348",4680 2385 1258 1223,1602 9438 8752 1005,yes,7161,251548,114784,"H.No:3/L,M G road,Byculla(W)",25-04-2013,,
Mukul,27,single,15105,IBM,Pune,Java Script,1008,9123457093,Delhi,4.5,BE/BTech,PLI9632588,PUENP8021I,yes,no,208,9623,10025000000370,1112510000402,1114020000398,NULL,NULL,276,4681 2385 1258 1223,1603 9438 8752 1005,yes,9779,313750,261498,"H.No:1/S,Dharavi road,Sion(W)",25-04-2013,,
Ajinkya Anil,26,married,15106,IBM,Pune,Shell Scripting,1008,9123457097,Delhi,3.5,BE/BTech,APL784516,PUENP8022K,yes,no,208,8478,10025000000371,1112510000403,1114020000399,NULL,NULL,"2,515",4682 2385 1258 1223,1604 9438 8752 1005,yes,74288,205375,574212,"H.No:1/L,Lifestyle Road,Parel(W)",25-04-2013,,
Jyothsna Devi,28,married,15107,IBM,Pune,Java Script,1008,9123457101,Delhi,6.5,BE/BTech,PLI9632589,PUENP8023L,yes,yes,203,9484,10025000000372,1112510000404,NULL,NULL,NULL,41,4460 2395 1258 1322,1605 9438 8752 1005,yes,181221,45219,437652,"H.No:13/B,Queens road,Chinchpokli",25-04-2013,,
Monika Hoskote Srinivasrao,35,married,15108,IBM,Pune,Perl,1008,9123457105,Delhi,7.5,BE/BTech,EFU589635,PUENP8024O,no,no,208,522,10025000000373,1112510000405,NULL,NULL,NULL,"1,568",4683 2385 1258 1223,1606 9438 8752 1005,yes,176882,101664,95419,"H.No:3/Q,standard mill compound,Wadala(W)",25-04-2013,,
Shwetha Bharathi,34,single,15109,IBM,Pune,Php,1008,9123457109,Delhi,7.5,BE/BTech,IJP8252373,PUENP8025P,yes,no,208,2536,10025000000374,1112510000406,NULL,NULL,NULL,"2,276",4684 2385 1258 1223,1607 9438 8752 1005,yes,119767,371315,359352,"H.No:8/K,dargah road,mahalakshmi",25-04-2013,,
Abhijay Adhikrao,29,married,15110,IBM,Noida,HTML,1008,9123457113,Delhi,6.5,BE/BTech,QSR985416,NDQWI7000A,yes,no,208,124,10025000000375,1112510000407,NULL,NULL,NULL,"3,583",4685 2385 1258 1223,1608 9438 8752 1005,yes,27507,121276,435397,"H.No:1/T,durdarshan road,Worli",25-04-2013,,
Swapnil Milapbhai,30,single,15111,IBM,Noida,Shell Scripting,1008,9123457117,Delhi,5.5,BE/BTech,AMN45127,NDQWI7001Q,yes,no,208,586,10025000000376,1112510000408,NULL,NULL,NULL,"7,613",4686 2385 1258 1223,1609 9438 8752 1005,yes,188239,125233,51566,"H.No:3/R,standard mill compound,Wadala(W)",25-04-2013,,
Abhijit Gangadhar,28,single,15112,IBM,Noida,Perl,1008,9123457121,Delhi,4.5,BE/BTech,QSZ126582,NDQWI7002W,no,no,208,456,10025000000377,1112510000409,NULL,NULL,NULL,"47,564",4461 2395 1258 1322,1610 9438 8752 1005,yes,106913,238956,413083,"H.No:8/L,dargah road,mahalakshmi",25-04-2013,,
Abineethi Rangappa,34,married,15113,IBM,Noida,Python,1008,9123457125,Delhi,6.5,BE/BTech,PLI9632589,NDQWI7003E,yes,no,208,1585,10025000000378,1112510000410,NULL,NULL,NULL,"99,923",4687 2385 1258 1223,1611 9438 8752 1005,yes,156698,56544,500882,"H.No:1/U,durdarshan road,Worli",25-04-2013,,
Abhinav,32,married,15114,IBM,Noida,Cobol,1008,9123457129,Delhi,4.5,BE/BTech,APL784517,NDQWI7004P,yes,no,208,4856,10025000000379,1112510000411,NULL,NULL,NULL,"1,470",4688 2385 1258 1223,1612 9438 8752 1005,yes,30007,328251,383993,"H.No:5/N,derashar lane,ghatkopar",25-04-2013,,
Swarnim,31,married,15115,IBM,Noida,Shell Scripting,1008,9123457133,Delhi,5.5,BE/BTech,PLI9632590,NDQWI7005A,yes,no,208,786,10025000000380,NULL,NULL,1111250000101,NULL,70,4689 2385 1258 1223,1613 9438 8752 1005,yes,84076,203914,308467,"H.No:1/V,durdarshan road,Worli",25-04-2013,,
Ahamedabdullah Basheer,35,married,15116,IBM,Noida,C,1008,9123457137,Delhi,7.5,BE/BTech,EFU589636,NDQWI7006S,yes,no,208,855,10025000000381,NULL,NULL,1111250000102,NULL,"1,711",4690 2385 1258 1223,1614 9438 8752 1005,yes,81443,23993,386991,"H.No:3/S,standard mill compound,Wadala(W)",25-11-2011,,
Swati,37,married,15117,IBM,Noida,VB.NET,1008,9123457141,Delhi,8,BE/BTech,IJP8252374,NDQWI7007H,yes,yes,203,4565,10025000000382,NULL,NULL,NULL,1111010000818,"2,506",4462 2395 1258 1322,1615 9438 8752 1005,yes,73967,297018,560110,"H.No:8/M,dargah road,mahalakshmi",25-11-2011,,
Abhishek,26,married,15118,IBM,Noida,C,1008,9123457145,Delhi,4.5,BE/BTech,QSR985417,NDQWI7008W,no,no,208,4152,10025000000383,NULL,NULL,NULL,1111010000819,29,4691 2385 1258 1223,1616 9438 8752 1005,yes,9893,41831,402412,"H.No:2/A,durdarshan road,Worli",25-11-2011,,
Anifa,30,married,15119,IBM,Noida,Perl,1008,9123457149,Delhi,7,BE/BTech,APL784515,NDQWI7009I,no,no,208,452,10025000000384,NULL,NULL,NULL,1111010000820,"6,745",4692 2385 1258 1223,1617 9438 8752 1005,yes,114628,290352,349496,"H.No:3/T,standard mill compound,Wadala(W)",25-11-2011,,
Sweta,30,married,15120,IBM,Noida,Cobol,1008,9123457153,Delhi,7,BE/BTech,PLI9632588,NDQWI7010N,yes,no,208,125,10025000000385,NULL,NULL,NULL,1111010000821,0,4693 2385 1258 1223,1618 9438 8752 1005,yes,26438,11240,767,"H.No:8/N,dargah road,mahalakshmi",25-11-2011,,
Adarsh,35,married,15121,IBM,Noida,Shell Scripting,1008,9123457157,Delhi,7.5,BE/BTech,EFU589634,NDQWI7011I,yes,yes,204,4674,10025000000386,NULL,NULL,NULL,1111010000822,"39,655",4694 2385 1258 1223,1619 9438 8752 1005,yes,37320,31520,485686,"H.No:5/O,derashar lane,ghatkopar",25-11-2011,,
Anzum Aman,28,married,15122,IBM,Noida,Java Script,1008,9123457161,Delhi,6.5,BE/BTech,IJP8252372,NDQWI7012A,yes,no,208,4,10025000000387,NULL,NULL,NULL,1111010000823,383,4463 2395 1258 1322,1620 9438 8752 1005,yes,135419,265101,237465,"H.No:4/L,Aarey road,Sion(W)",25-11-2011,,
Ajink,29,married,15123,IBM,Noida,Python,1008,9123457165,Delhi,5.5,BE/BTech,QSR985415,NDQWI7013P,yes,no,208,456,10025000000388,NULL,NULL,NULL,1111010000824,390,4695 2385 1258 1223,1621 9438 8752 1005,yes,178184,46249,437197,"H.No:1/J,L T road,Wadala(E)",25-11-2011,,
Tejas Poonamchandra,34,married,15124,IBM,Noida,VB.NET,1008,9123457169,Delhi,8,BE/BTech,AMN45126,NDQWI7014A,yes,yes,203,0,10025000000389,NULL,NULL,NULL,1111010000825,"6,070",4696 2385 1258 1223,1622 9438 8752 1005,yes,171640,26887,352093,"H.No:13/A,Queens road,Chinchpokli",25-11-2011,,
Anamika,28,divorced,15125,IBM,Noida,Perl,1008,9123457173,Delhi,4.5,BE/BTech,QSZ126581,NDQWI7015S,yes,no,208,0,10025000000390,NULL,NULL,NULL,1111010000826,28,4697 2385 1258 1223,1623 9438 8752 1005,yes,110118,300231,499085,"H.No:3/U,standard mill compound,Wadala(W)",25-11-2011,,
Tejaswi,30,divorced,15126,IBM,Noida,HTML,1008,9123457177,Delhi,7.5,BE/BTech,PLI9632588,NDQWI7016D,yes,no,208,456,10025000000391,NULL,NULL,NULL,1111010000827,"5,365",4698 2385 1258 1223,1624 9438 8752 1005,yes,89441,283055,535422,"H.No:8/O,dargah road,mahalakshmi",25-11-2011,,
Avinash Doddamane,28,married,15127,IBM,Delhi,Shell Scripting,1008,9123457181,Delhi,4,BE/BTech,APL784516,DPOUE8000A,yes,no,208,47,10025000000392,NULL,NULL,1111250000103,1111010000828,"1,010",4464 2395 1258 1322,1625 9438 8752 1005,yes,52889,257532,9783,"H.No:2/B,durdarshan road,Worli",25-11-2011,,
Thinisha,26,divorced,15128,IBM,Delhi,Python,1008,9123457185,Delhi,4.5,BE/BTech,PLI9632589,DPOUE8001S,yes,no,208,875,10025000000393,NULL,NULL,1111250000104,NULL,"33,285",4699 2385 1258 1223,1626 9438 8752 1005,yes,115500,270840,3716,"H.No:3/V,standard mill compound,Wadala(W)",25-11-2011,,
Anilkumar Girdharilal,27,married,15129,IBM,Delhi,Java Script,1008,9123457189,Mumbai,5.5,BE/BTech,EFU589635,DPOUE8002F,yes,no,208,95,10025000000394,NULL,NULL,1111250000105,NULL,"1,204",4700 2385 1258 1223,1627 9438 8752 1005,yes,190869,114071,512851,"H.No:7/A,dargah road,mahalakshmi",25-11-2011,,
Vamsi Krishna,29,married,15130,IBM,Delhi,Perl,1008,9123457193,Mumbai,6.5,BE/BTech,IJP8252373,DPOUE8003G,yes,no,208,466,10025000000395,NULL,NULL,1111250000106,NULL,"1,44,846",4701 2385 1258 1223,1628 9438 8752 1005,yes,186699,139022,202744,"H.No:2/C,durdarshan road,Worli",12-06-2006,,
Mohammedfayaz,36,single,15131,IBM,Delhi,Shell Scripting,1008,9123457197,Mumbai,7.5,BE/BTech,QSR985416,DPOUE8004H,yes,yes,210,4566,10025000000396,NULL,NULL,1111250000107,NULL,"5,477",4702 2385 1258 1223,1629 9438 8752 1005,yes,75714,186588,31617,"H.No:5/P,derashar lane,ghatkopar",12-06-2006,,
Bhargav Reddy,31,single,15132,IBM,Delhi,Cobol,1008,9123457201,Mumbai,4.5,BE/BTech,AMN45127,DPOUE8005J,yes,no,208,365,10025000000397,NULL,NULL,1111250000108,NULL,"10,132",4465 2395 1258 1322,1630 9438 8752 1005,no,11585,296992,394574,"H.No:2/D,durdarshan road,Worli",12-06-2006,,
Pavan Kumar,26,married,15133,IBM,Delhi,Perl,1008,9123457205,Mumbai,3.5,BE/BTech,QSZ126582,DPOUE8006K,no,no,208,2565,10025000000398,NULL,NULL,1111250000109,NULL,"49,746",4703 2385 1258 1223,1631 9438 8752 1005,yes,111170,119597,560526,"H.No:3/W,standard mill compound,Wadala(W)",12-06-2006,,
Bhavesh,29,married,15134,IBM,Delhi,HTML,1008,9123457209,Mumbai,4.5,BE/BTech,PLI9632589,DPOUE8007L,no,yes,203,125,10025000000399,NULL,NULL,1111250000110,NULL,"60,548",4704 2385 1258 1223,1632 9438 8752 1005,yes,83352,264889,183470,"H.No:21/D,gymkhana marg,Currey road",12-06-2006,,
Vanitha Lakshmaniyer,28,married,15135,IBM,Delhi,Perl,1008,9123457213,Mumbai,6.5,BE/BTech,APL784517,DPOUE8008P,yes,no,208,35,10025000000400,1112510000412,NULL,1111250000111,NULL,8000,4705 2385 1258 1223,1633 9438 8752 1005,yes,126406,156434,316882,"H.No:17/L,ganseh lane,lalbaug",12-06-2006,,
Bhavik Shrichand,31,married,15136,IBM,Delhi,Python,1008,9123457217,Mumbai,5.5,BE/BTech,PLI9632590,DPOUE8009O,yes,no,208,78,10025000000401,1112510000413,NULL,1111250000112,NULL,"74,999",4706 2385 1258 1223,1634 9438 8752 1005,yes,106866,352969,444067,"H.No:7/R,furniture wala road,Worli",12-06-2006,,
Varunashree Nagaraj,31,married,15137,IBM,Delhi,VB.NET,1008,9123457221,Mumbai,4.5,BE/BTech,EFU589636,DPOUE8010I,yes,yes,210,895,10025000000402,1112510000414,NULL,1111250000113,NULL,717,4466 2395 1258 1322,1635 9438 8752 1005,yes,167346,300947,398620,"H.No:2/N,savla street,matunga(W)",12-06-2006,,
Deepshikha Anupkumar,30,single,17033,IBM,Delhi,Python,1008,9123457225,Mumbai,7.5,BE/BTech,IJP8252374,DPOUE8011O,yes,no,208,635,10025000000403,1112510000415,NULL,1111250000114,NULL,"2,421",4707 2385 1258 1223,1636 9438 8752 1005,yes,184968,8339,548189,"H.No:6/G,91 feet road,ghatkopar(E)",12-06-2006,,
Venkatesh,28,married,17034,IBM,Delhi,VB.NET,1008,9123457229,Mumbai,5.5,BE/BTech,QSR985417,DPOUE8012I,yes,no,208,653,10025000000404,1112510000416,NULL,1111250000115,NULL,218,4708 2385 1258 1223,1637 9438 8752 1005,yes,103155,272575,337545,"H.No:1/C,Mall road,vidya vihar(E)",12-06-2006,,
Mahesh Suryaprakash,29,married,17035,IBM,Delhi,VB.NET,1008,9123457233,Mumbai,5.5,BE/BTech,AMN45128,DPOUE8013U,no,no,208,456,10025000000405,1112510000417,NULL,1111250000116,NULL,"1,84,850",4709 2385 1258 1223,1638 9438 8752 1005,yes,196633,118824,361937,"H.No:1/M,nakshatra road,Dadar(E)",15-02-2007,,
Vijay Kumar,26,married,17036,IBM,Delhi,HTML,1008,9123457237,Mumbai,4.5,BE/BTech,QSZ126583,DPOUE8014Y,no,no,208,867,10025000000406,1112510000418,NULL,1111250000117,NULL,"39,904",4710 2385 1258 1223,1639 9438 8752 1005,no,95096,186402,13981,"H.No:2/F,Rani baug,Byculla(E)",15-02-2007,,
Manisha,31,married,17037,IBM,Delhi,Cobol,1008,9123457241,Mumbai,6.5,BE/BTech,PLI9632590,DPOUE8015T,no,no,208,2359,10025000000407,1112510000419,NULL,1111250000118,NULL,"69,044",4467 2395 1258 1322,1640 9438 8752 1005,yes,16976,318763,20019,"H.No:2/S,ferry wharf,mazgaon",15-02-2007,,
Vijay Singh,25,divorced,17038,IBM,Delhi,Java Script,1008,9123457245,Mumbai,3.5,BE/BTech,APL784518,DPOUE8016R,yes,no,208,963,10025000000408,1112510000420,NULL,NULL,NULL,"7,242",4711 2385 1258 1223,1641 9438 8752 1005,yes,186312,376640,576217,"H.No:3/B,Porteguse church,Dadar(W)",15-02-2007,,
Manjula,29,married,17039,IBM,Delhi,Shell Scripting,1008,9123457249,Mumbai,7.5,BE/BTech,PLI9632591,DPOUE8017D,yes,no,208,852,10025000000409,1112510000421,NULL,NULL,NULL,"27,627",4712 2385 1258 1223,1642 9438 8752 1005,yes,37800,386310,428285,"H.No:3/X,standard mill compound,Wadala(W)",15-02-2007,,
Vikas Gaurishankar,29,married,17040,IBM,Delhi,VB.NET,1008,9123457253,Mumbai,5.5,BE/BTech,EFU589637,DPOUE8018F,yes,no,208,741,10025000000410,1112510000422,NULL,NULL,NULL,"30,690",4713 2385 1258 1223,1643 9438 8752 1005,yes,124640,160341,64894,"H.No:7/B,dargah road,mahalakshmi",15-02-2007,,
Mayank Kumar,28,single,17041,IBM,Delhi,VB.NET,1008,9123457257,Mumbai,4.5,BE/BTech,IJP8252375,DPOUE8019I,yes,no,208,123,10025000000411,1112510000423,NULL,NULL,NULL,"9,562",4714 2385 1258 1223,1644 9438 8752 1005,yes,129218,134364,485833,"H.No:1/R,Shinde wadi,Dadar(E)",15-02-2007,,
Mounika,26,married,17042,IBM,Delhi,Python,1008,9123457261,Mumbai,3.5,BE/BTech,QSR985418,DPOUE8020P,yes,no,208,456,10025000000412,1112510000424,NULL,NULL,NULL,781,4468 2395 1258 1322,1645 9438 8752 1005,yes,97199,328329,522843,"H.No:1/S,Tata Hospital Road,Parel(E)",15-02-2007,,
Vishal Mahadev,26,single,17043,IBM,Delhi,VB.NET,1008,9123457265,Mumbai,4.5,BE/BTech,APL784516,DPOUE8021O,yes,no,208,789,10025000000413,NULL,NULL,NULL,NULL,"48,251",4715 2385 1258 1223,1646 9438 8752 1005,yes,170622,229202,70101,"H.No:1/I,Caters Road,Prabhadevi",15-02-2007,,
Yash,36,married,17044,IBM,Delhi,HTML,1008,9123457269,Mumbai,6.5,BE/BTech,PLI9632589,DPOUE8022I,yes,no,208,159,10025000000414,1112510000425,NULL,NULL,NULL,"1,899",4716 2385 1258 1223,1647 9438 8752 1005,yes,39830,371805,586956,"H.No:1/R,Dharavi road,Sion(W)",15-02-2007,,
Poojan Bhargavbhai,28,married,17045,IBM,Delhi,VB.NET,1008,9123457273,Mumbai,4.5,BE/BTech,EFU589635,DPOUE8023I,yes,no,208,753,10025000000415,NULL,NULL,NULL,NULL,"1,401",4717 2385 1258 1223,1648 9438 8752 1005,yes,99047,18285,80856,"H.No:2/L,Chandvarkar road,Matunga(W)",15-02-2007,,
Prachi Vilas,26,divorced,17046,IBM,Delhi,VB.NET,1008,9123457277,Mumbai,3.5,BE/BTech,IJP8252373,DPOUE8024Y,yes,no,208,1456,10025000000416,1112510000426,NULL,NULL,NULL,"2,043",4718 2385 1258 1223,1649 9438 8752 1005,yes,186983,379790,308682,"H.No:1/K,Napoo Road,Lalbaug",15-02-2007,,
Poornima,27,married,17047,IBM,Delhi,Cobol,1008,9123457281,Mumbai,5.5,BE/BTech,QSR985416,DPOUE8025T,no,no,208,23654,10025000000417,NULL,NULL,NULL,NULL,"42,453",4469 2395 1258 1322,1650 9438 8752 1005,yes,148532,47355,537601,"H.No:4/D,Bhulabhai desai road,wadala(E)",18-06-2010,,
Prajwal Prakashrao,29,married,17048,IBM,Delhi,VB.NET,1008,9123457285,Mumbai,6.5,BE/BTech,AMN45127,DPOUE8026Z,yes,no,208,258,10025000000418,NULL,NULL,NULL,NULL,456,4719 2385 1258 1223,1651 9438 8752 1005,yes,25975,240413,146332,"H.No:7/C,dargah road,mahalakshmi",18-06-2010,,
Praphul,31,divorced,17049,IBM,Delhi,Python,1008,9123457289,Mumbai,5.5,BE/BTech,QSZ126582,DPOUE8027X,yes,yes,210,784,10025000000419,NULL,NULL,NULL,NULL,"4,28,878",4720 2385 1258 1223,1652 9438 8752 1005,yes,170025,339444,62071,"H.No:5/D,Moti shah lane,Dadar(W)i",18-06-2010,,
Preeti Kamlesh,35,married,17050,IBM,Delhi,Java Script,1008,9123457293,Mumbai,7.5,BE/BTech,PLI9632589,DPOUE8028C,yes,no,208,254,10025000000420,NULL,NULL,NULL,NULL,"12,784",4721 2385 1258 1223,1653 9438 8752 1005,yes,176887,84982,481983,"H.No:7/b,H.No:7/B,jame jamshed road,dadar(E)",18-06-2010,,
Promod Ashok,35,single,17051,IBM,Delhi,HTML,1008,9123457297,Mumbai,7.5,BE/BTech,APL784517,DPOUE8029V,yes,no,208,125,10025000000421,NULL,NULL,NULL,NULL,"21,715",4722 2385 1258 1223,1654 9438 8752 1005,yes,89616,343818,493426,"H.No:2/J,Worlikar marg,Worli",18-06-2010,,
Rahul,29,single,17052,IBM,Delhi,VB.NET,1008,9123457301,Mumbai,6.5,BE/BTech,PLI9632590,DPOUE8030B,yes,no,208,365,10025000000422,1112510000427,NULL,NULL,NULL,490,4470 2395 1258 1322,1655 9438 8752 1005,no,69484,223627,27428,"H.No:2/K,Amarsons garden,Prabhadevi",18-06-2010,,
Prasanna Kumar,27,single,17053,IBM,Delhi,Cobol,1008,9123457305,Mumbai,5.5,BE/BTech,EFU589636,DPOUE8031N,yes,no,208,214,10025000000423,1112510000428,NULL,NULL,1111010000829,"26,606",4723 2385 1258 1223,1656 9438 8752 1005,no,176952,280590,268829,"H.No:1/H,shivari road,Parel(E)",18-06-2010,,
Rajatha Trimeri,28,married,17054,IBM,Delhi,Java Script,1008,9123457309,Mumbai,4.5,BE/BTech,IJP8252374,DPOUE8032M,yes,no,208,658,10025000000424,1112510000429,NULL,NULL,NULL,"2,671",4724 2385 1258 1223,1657 9438 8752 1005,no,102887,316597,218544,"H.No:2/R,cloves lane,masjid bunder(W)",18-06-2010,,
Ravishankar Karanam,29,single,17055,IBM,Delhi,VB.NET,1008,9123457313,Mumbai,6.5,BE/BTech,QSR985417,DPOUE8033K,yes,no,208,54,10025000000425,1112510000430,NULL,NULL,NULL,"32,300",4725 2385 1258 1223,1658 9438 8752 1005,no,39425,389602,174234,"H.No:1/M,Lifestyle Road,Parel(W)",18-06-2010,,
Raghunath,28,married,17056,IBM,Delhi,Python,1008,9123457317,Mumbai,4.5,BE/BTech,AMN45128,DPOUE8034J,yes,no,208,784,10025000000426,1112510000431,NULL,NULL,NULL,"11,752",4726 2385 1258 1223,1659 9438 8752 1005,yes,136292,20469,80414,"H.No:12/Y,Queens road,Chinchpokli",18-06-2010,,
Shivani Niranjan,29,married,17057,IBM,Delhi,Java Script,1008,9123457321,Mumbai,6.5,BE/BTech,QSZ126583,DPOUE8035P,yes,no,208,963,10025000000427,1112510000432,NULL,NULL,NULL,"1,796",4471 2395 1258 1322,1660 9438 8752 1005,yes,82852,46178,67458,"H.No:3/M,M G road,Byculla(W)",18-06-2010,,
Rajendra Reddy,29,married,17058,IBM,Delhi,HTML,1008,9123457325,Mumbai,5.5,BE/BTech,PLI9632590,DPOUE8036O,yes,no,208,852,10025000000428,1112510000433,NULL,NULL,NULL,"5,648",4727 2385 1258 1223,1661 9438 8752 1005,yes,77545,336331,257467,"H.No:4/I,sion hospital lane,sion(E)",18-06-2010,,
Siddharth Pravinkumar,31,single,17059,IBM,Delhi,VB.NET,1008,9123457329,Mumbai,4.5,BE/BTech,APL784518,DPOUE8037I,yes,no,208,741,10025000000429,1112510000434,1114020000400,1111250000119,1111010000830,"21,394",4728 2385 1258 1223,1662 9438 8752 1005,yes,24741,28602,539272,"H.No:5/C,Dumping Road,worli",18-06-2010,,
Rajini,29,married,17060,IBM,Delhi,Python,1008,9123457333,Mumbai,7.5,BE/BTech,PLI9632591,DPOUE8038M,yes,no,208,4584,10025000000430,1112510000435,NULL,NULL,NULL,"3,827",4729 2385 1258 1223,1663 9438 8752 1005,yes,35014,73601,532176,"H.No:1/B,Mill raod,kurla(E)",18-06-2010,,
Suresh Kumar,29,married,17061,IBM,Delhi,Java Script,1008,9123457337,Mumbai,5.5,BE/BTech,EFU589637,DPOUE8039H,yes,no,208,1234,10025000000431,1112510000436,NULL,NULL,NULL,"16,414",4730 2385 1258 1223,1664 9438 8752 1005,yes,61529,105534,415897,"H.No:1/F,chunabhati road,Kurla(W)",09-01-1900,,
Surya Raj,28,married,17062,IBM,Delhi,Java Script,1008,9123457341,Mumbai,5.5,BE/BTech,IJP8252375,DPOUE8040G,yes,no,208,856,10025000000432,1112510000437,NULL,NULL,NULL,"2,43,985",4472 2395 1258 1322,1665 9438 8752 1005,yes,96819,99451,147062,"H.No:1/J,Classic road,Mazgaon",19-01-2009,,
Revanna Dundappa,31,married,17063,IBM,Delhi,Cobol,1008,9123457345,Mumbai,4.5,BE/BTech,QSR985418,DPOUE8041F,yes,no,208,7521,10025000000433,1112510000438,NULL,NULL,NULL,"74,999",4731 2385 1258 1223,1666 9438 8752 1005,yes,159929,189145,29899,"H.No:1/B,Jain society,Sion(E)",19-01-2009,,
Reyaz,29,married,17064,IBM,Delhi,VB.NET,1008,9123457349,Mumbai,6.5,BE/BTech,AMN45129,DPOUE8042D,yes,no,208,856,10025000000434,1112510000439,NULL,NULL,NULL,717,4732 2385 1258 1223,1667 9438 8752 1005,yes,177546,138815,241587,"H.No:1/F,catering college lane,Sandhurst road(E)",19-01-2009,,
Saikumar,31,married,17065,IBM,Delhi,HTML,1008,9123457353,Mumbai,3.5,BE/BTech,QSZ126584,DPOUE8043Q,yes,no,208,4523,10025000000435,NULL,NULL,NULL,NULL,"2,421",4733 2385 1258 1223,1668 9438 8752 1005,yes,96543,75424,523136,"H.No:21/E,gymkhana marg,Currey road",19-01-2009,,
Sai Vamsi Krishna,35,married,17066,IBM,Delhi,Python,1008,9123457357,Mumbai,7.5,BE/BTech,PLI9632591,DPOUE8044W,yes,no,208,256,10025000000436,1112510000441,NULL,NULL,NULL,218,4734 2385 1258 1223,1669 9438 8752 1005,yes,166002,325759,368439,"H.No:17/M,ganseh lane,lalbaug",19-01-2009,,
Sandeep Kumar,22,married,17067,IBM,Delhi,Device Drivers,1003,9123457361,Mumbai,1,BE/BTech,APL784519,DPOUE8045E,no,no,208,854,10025000000437,1112510000442,NULL,NULL,1111010000831,"1,84,850",4473 2395 1258 1322,1670 9438 8752 1005,yes,194513,116576,316701,"H.No:7/S,furniture wala road,Worli",02-05-2011,,
Sharjalatha,23,single,17068,IBM,Delhi,Socket Programming,1003,9123457365,Mumbai,1.5,BE/BTech,PLI9632592,DPOUE8046R,yes,no,208,968,10025000000438,1112510000443,NULL,NULL,1111010000832,"39,904",4735 2385 1258 1223,1671 9438 8752 1005,yes,24475,4720,524473,"H.No:2/O,savla street,matunga(W)",02-11-2009,,
Curtis Bailey,26,divorced,17069,IBM,Delhi,Signal Processing,1003,9123457369,Mumbai,4.5,BE/BTech,EFU589638,DPOUE8047T,no,no,208,753,10025000000439,1112510000444,NULL,NULL,1111010000833,"69,044",4736 2385 1258 1223,1672 9438 8752 1005,yes,21538,206881,236684,"H.No:6/I,H.No:6/P,92 feet road,ghatkopar(E)",31-05-2011,,
Jeremy Stone,29,married,17070,IBM,Delhi,Real Time Operations,1003,9123457373,Mumbai,5.5,BE/BTech,IJP8252376,DPOUE8048Y,yes,no,208,521,10025000000440,NULL,NULL,NULL,1111010000834,"7,242",4737 2385 1258 1223,1673 9438 8752 1005,yes,71589,387293,76508,"H.No:1/D,Mall road,vidya vihar(E)",31-05-2011,,
Olivia Marie Gray,22,married,17071,IBM,Delhi,Real Time Systems,1003,9123457377,Mumbai,0.5,BE/BTech,QSR985419,DPOUE8049U,yes,no,208,852,10025000000441,1112510000446,NULL,NULL,1111010000835,"27,627",4738 2385 1258 1223,1674 9438 8752 1005,yes,172284,326015,186177,"H.No:1/N,nakshatra road,Dadar(E)",02-05-2011,,
Paula M. Ryan,23,single,17072,IBM,Delhi,C,1003,9123457381,Mumbai,1,BE/BTech,APL784517,DPOUE8050I,yes,no,208,984,10025000000442,1112510000447,NULL,NULL,1111010000836,"30,690",4474 2395 1258 1322,1675 9438 8752 1005,yes,149970,172170,239966,"H.No:2/G,Rani baug,Byculla(E)",02-11-2009,,
Priscilla M Robertson,22,married,17073,IBM,Delhi,Custom Firmware ,1003,9123457385,Mumbai,0.5,BE/BTech,PLI9632590,DPOUE8051O,yes,no,208,562,10025000000443,1112510000448,NULL,NULL,1111010000837,"9,562",4739 2385 1258 1223,1676 9438 8752 1005,yes,59215,397422,264096,"H.No:2/T,ferry wharf,mazgaon",02-05-2011,,
Jenna H. Hernandez,24,single,17074,IBM,Delhi,Socket Programming,1003,9123457389,Mumbai,1.5,BE/BTech,EFU589636,DPOUE8052P,yes,no,208,3654,10025000000444,1112510000449,NULL,NULL,1111010000838,781,4740 2385 1258 1223,1677 9438 8752 1005,yes,145650,192784,345252,"H.No:3/C,Porteguse church,Dadar(W)",17-04-2011,,
